,Fare_Amt,tripDurationHours,tipPC,depart_income,arriv_income,Trip_Distance,Payment_Type
3524,8.1,0.183333333333,0.0,158.973138597,302.957837437,2.08,CASH
3525,3.3,0.0333333333333,0.0,252.197724718,205.936708269,0.39,CASH
3526,6.1,0.12,0.0,111.452010793,121.765217175,1.4,Cash
3527,4.5,0.0666666666667,0.0,26.7751177863,18.8220529801,0.62,CASH
3528,5.7,0.116666666667,0.0,147.284296274,147.284296274,0.99,CASH
3529,24.9,0.316666666667,0.178714859438,,138.760957512,10.2,Credit
3530,4.5,0.05,0.0,158.973138597,111.452010793,1.11,CASH
3531,22.5,0.25,0.204444444444,119.356719782,41.4481213543,9.6,Credit
3532,11.3,0.254166666667,0.0,178.157744482,208.774085523,3.2,Cash
3533,9.0,0.181111111111,0.0,252.197724718,111.452010793,2.0,Cash
3534,9.1,0.196388888889,0.0,170.259992779,147.284296274,1.6,Cash
3535,6.6,0.141388888889,0.0,27.9386726407,27.9386726407,1.0,Cash
3536,5.3,0.0819444444444,0.0,138.760957512,157.477740509,1.0,Cash
3537,8.1,0.193333333333,0.0,120.643519106,139.074511059,1.8,Cash
3538,11.7,0.150833333333,0.149572649573,115.621026064,430.402252069,4.2,Credit
3539,13.7,0.295277777778,0.0,157.477740509,94.386319293,4.3,Cash
3540,11.7,0.167777777778,0.0,53.4850998464,115.621026064,4.3,Cash
3541,6.3,0.0727777777778,0.0,101.184332311,111.452010793,1.3,Cash
3542,9.9,0.216944444444,0.10101010101,120.643519106,138.760957512,2.1,Credit
3543,17.0,0.338611111111,0.0,121.765217175,26.7751177863,6.2,Cash
3544,8.6,0.161388888889,0.0,94.386319293,147.284296274,2.1,Cash
3545,4.2,0.0527777777778,0.0,302.957837437,205.936708269,0.3,Cash
3546,4.9,0.0633333333333,0.0,94.386319293,94.386319293,0.8,Cash
3547,11.3,0.283333333333,0.0,157.477740509,158.973138597,3.01,CASH
3548,5.3,0.116666666667,0.0,94.386319293,111.452010793,0.73,CASH
3549,9.3,0.133333333333,0.161290322581,302.957837437,94.386319293,2.52,Credit
3550,4.5,0.0833333333333,0.244444444444,119.356719782,115.621026064,0.77,Credit
3551,9.7,0.255,0.0,138.760957512,,1.9,CASH
3552,12.5,0.3025,0.016,119.356719782,27.9386726407,4.4,CREDIT
3553,5.3,0.1,0.0,115.621026064,119.356719782,0.9,CASH
3554,10.5,0.347222222222,0.142857142857,158.973138597,238.665860215,1.2,CREDIT
3555,20.3,0.495833333333,0.0,111.452010793,16.4690077286,6.0,Cash
3556,5.7,0.109722222222,0.0,238.665860215,94.386319293,1.1,Cash
3557,4.1,0.0658333333333,0.0,252.197724718,252.197724718,0.5,Cash
3558,5.3,0.0922222222222,0.0,147.284296274,170.550403502,0.9,Cash
3559,8.1,0.184722222222,0.149382716049,115.621026064,147.284296274,1.6,Credit
3560,8.2,0.151666666667,0.2,119.356719782,215.183243508,1.9,Credit
3561,11.4,0.3175,0.0,115.621026064,21.3128239511,2.1,Cash
3562,5.7,0.111944444444,0.0,252.197724718,158.973138597,1.2,Cash
3563,6.1,0.107222222222,0.0,138.760957512,64.1674781822,1.5,Cash
3564,4.9,0.0905555555556,0.0,115.621026064,115.621026064,0.5,Cash
3565,8.9,0.242777777778,0.0,158.973138597,94.386319293,1.5,Cash
3566,5.8,0.0855555555556,0.172413793103,147.284296274,147.284296274,0.8,Credit
3567,9.3,0.235833333333,0.0,238.665860215,119.356719782,1.9,Cash
3568,5.5,0.0763888888889,0.0,120.643519106,120.643519106,0.4,Cash
3569,11.3,0.221666666667,0.0,95.1038858049,238.665860215,3.5,Cash
3570,8.2,0.164722222222,0.0,238.665860215,170.550403502,1.7,Cash
3571,6.1,0.110833333333,0.0,14.2333201893,14.2333201893,1.5,Cash
3572,4.1,0.0516666666667,0.0,64.1674781822,138.760957512,0.7,Cash
3573,3.7,0.0477777777778,0.0,,302.957837437,0.5,Cash
3574,4.9,0.0622222222222,0.0,64.1674781822,26.7751177863,1.1,Cash
3575,13.7,0.266666666667,0.0,205.936708269,19.7708445489,4.97,CASH
3576,16.5,0.45,0.2,178.157744482,111.452010793,4.5,Credit
3577,28.9,0.483333333333,0.0,21.3128239511,29.0595645967,11.91,CASH
3578,13.3,0.266666666667,0.15037593985,238.665860215,64.1674781822,4.11,Credit
3579,14.1,0.383333333333,0.0,136.763860839,120.643519106,3.95,CASH
3580,10.9,0.266666666667,0.0,64.1674781822,147.284296274,3.02,CASH
3581,45.0,0.6,0.2,19.0603299189,147.284296274,18.75,Credit
3582,6.9,0.0666666666667,0.434782608696,119.356719782,111.452010793,1.05,Credit
3583,6.1,0.110833333333,0.16393442623,139.074511059,94.386319293,1.4,Credit
3584,15.1,0.390555555556,0.0,21.3128239511,120.643519106,3.5,Cash
3585,9.7,0.216666666667,0.0,170.550403502,178.157744482,2.52,CASH
3586,4.5,-0.0833333333333,0.222222222222,119.356719782,115.621026064,1.1,Credit
3587,11.3,0.266666666667,0.0,115.621026064,,3.46,CASH
3588,4.1,0.0333333333333,0.0,94.386319293,238.665860215,0.86,CASH
3589,4.9,0.0833333333333,0.0,147.284296274,120.643519106,0.91,CASH
3590,21.7,0.534722222222,0.0921658986175,64.1674781822,150.291550604,8.0,CREDIT
3591,7.3,0.211944444444,0.0,136.763860839,101.184332311,0.7,CASH
3592,9.3,0.191944444444,0.10752688172,138.760957512,94.386319293,2.9,CREDIT
3593,3.7,0.0491666666667,0.0,157.477740509,178.157744482,0.5,CASH
3594,25.5,0.528888888889,0.174117647059,119.356719782,,9.6,Credit
3595,6.5,0.118611111111,0.0,157.477740509,205.936708269,1.4,Cash
3596,8.5,0.211666666667,0.0,252.197724718,178.157744482,1.7,Cash
3597,8.5,0.211666666667,0.0,,178.157744482,1.7,Cash
3598,13.3,0.284722222222,0.0751879699248,101.184332311,147.284296274,3.8,Credit
3599,25.8,0.5775,0.0,147.284296274,48.0248503838,9.3,Cash
3600,5.3,0.0844444444444,0.0,147.284296274,94.386319293,1.3,Cash
3601,8.5,0.243333333333,0.0,136.763860839,139.074511059,1.2,Cash
3602,6.7,0.1025,0.0,302.957837437,157.477740509,1.2,Cash
3603,5.8,0.0963888888889,0.0,121.765217175,94.386319293,1.0,Cash
3604,11.9,0.292777777778,0.0,121.765217175,147.284296274,2.5,Cash
3605,14.6,0.210555555556,0.2,430.402252069,158.973138597,5.1,Credit
3606,14.6,0.210555555556,0.2,,158.973138597,5.1,Credit
3607,8.2,0.209444444444,0.0,119.356719782,21.3128239511,1.0,Credit
3608,7.8,0.106666666667,0.15,139.074511059,115.621026064,2.2,Credit
3609,13.3,0.285833333333,0.14962406015,64.1674781822,238.665860215,4.1,Credit
3610,8.1,0.198055555556,0.0,252.197724718,94.386319293,1.7,Cash
3611,8.1,0.198055555556,0.0,252.197724718,94.386319293,1.7,Cash
3612,8.1,0.198055555556,0.0,252.197724718,,1.7,Cash
3613,8.1,0.198055555556,0.0,252.197724718,,1.7,Cash
3614,10.2,0.178611111111,0.196078431373,64.1674781822,170.550403502,2.7,Credit
3615,6.3,0.0963888888889,0.0,94.386319293,115.621026064,0.9,Cash
3616,6.3,0.0963888888889,0.0,,115.621026064,0.9,Cash
3617,16.5,0.316944444444,0.121212121212,136.763860839,138.760957512,5.7,Credit
3618,9.0,0.178055555556,0.0,21.3128239511,110.918264697,2.3,Cash
3619,5.7,0.116666666667,0.0,205.936708269,252.197724718,1.08,CASH
3620,5.3,0.116666666667,0.0,120.643519106,94.386319293,0.81,CASH
3621,8.1,0.133333333333,0.135802469136,138.760957512,252.197724718,2.79,Credit
3622,3.7,0.0333333333333,0.0,158.973138597,252.197724718,0.45,CASH
3623,4.9,0.0666666666667,0.0,157.477740509,252.197724718,1.14,CASH
3624,20.2,0.302222222222,0.0,,41.4481213543,7.7,Cash
3625,14.5,0.3,0.0,136.763860839,36.4885473838,4.62,CASH
3626,20.9,0.5,0.0956937799043,22.2377302013,21.1142020811,6.69,Credit
3627,8.9,-0.05,0.0674157303371,42.750828305,94.386319293,2.3,Credit
3628,7.3,0.2,0.41095890411,120.643519106,147.284296274,0.81,Credit
